trial-name,spk,train-infer,train-quality,n-samples,test-infer,test-quality,eer
trial_1gxuh0cu,Kaban,raw,ABC,880,mask,D,24
trial_1gxuh0cu,Kaban,raw,ABC,880,raw,ABC,21.74
trial_1gxuh0cu,Kaban,raw,ABC,880,raw,D,28
trial_1h7m3s87,Kaban,mask,ABCD,1000,embd,ABC,25.93
trial_1h7m3s87,Kaban,mask,ABCD,1000,embd,D,35
trial_1h7m3s87,Kaban,mask,ABCD,1000,mask,ABC,22.22
trial_1h7m3s87,Kaban,mask,ABCD,1000,mask,D,20
trial_1h7m3s87,Kaban,mask,ABCD,1000,raw,ABC,22.22
trial_1h7m3s87,Kaban,mask,ABCD,1000,raw,D,25
trial_1iww0blk,Kaban,mask,ABCD,880,embd,ABC,35
trial_1iww0blk,Kaban,mask,ABCD,880,embd,D,33.33
trial_1iww0blk,Kaban,mask,ABCD,880,mask,ABC,20
trial_1iww0blk,Kaban,mask,ABCD,880,mask,D,25
trial_1iww0blk,Kaban,mask,ABCD,880,raw,ABC,20
trial_1iww0blk,Kaban,mask,ABCD,880,raw,D,25
trial_1j02et7l,Serval,raw,ABC,650,embd,ABC,32.26
trial_1j02et7l,Serval,raw,ABC,650,embd,D,40
trial_1j02et7l,Serval,raw,ABC,650,mask,ABC,19.35
trial_1j02et7l,Serval,raw,ABC,650,mask,D,30
trial_1j02et7l,Serval,raw,ABC,650,raw,ABC,22.58
trial_1j02et7l,Serval,raw,ABC,650,raw,D,30
trial_1lw6pm4x,Kaban,raw,ABC,880,embd,ABC,35
trial_1lw6pm4x,Kaban,raw,ABC,880,embd,D,38.1
trial_1lw6pm4x,Kaban,raw,ABC,880,mask,ABC,20
trial_1lw6pm4x,Kaban,raw,ABC,880,mask,D,23.81
trial_1lw6pm4x,Kaban,raw,ABC,880,raw,ABC,15
trial_1lw6pm4x,Kaban,raw,ABC,880,raw,D,19.05
trial_1mqxxv6d,Serval,raw,ABC,1000,embd,ABC,14.81
trial_1mqxxv6d,Serval,raw,ABC,1000,embd,D,34.78
trial_1mqxxv6d,Serval,raw,ABC,1000,mask,ABC,11.11
trial_1mqxxv6d,Serval,raw,ABC,1000,mask,D,21.74
trial_1mqxxv6d,Serval,raw,ABC,1000,raw,ABC,7.407
trial_1mqxxv6d,Serval,raw,ABC,1000,raw,D,26.09
trial_1o1cfzaq,Kaban,raw,ABC,1000,embd,ABC,28.57
trial_1o1cfzaq,Kaban,raw,ABC,1000,embd,D,40
trial_1o1cfzaq,Kaban,raw,ABC,1000,mask,ABC,14.29
trial_1o1cfzaq,Kaban,raw,ABC,1000,mask,D,24
trial_1o1cfzaq,Kaban,raw,ABC,1000,raw,ABC,14.29
trial_1o1cfzaq,Kaban,raw,ABC,1000,raw,D,16
trial_1pc0yahm,Kaban,embd,ABCD,880,embd,ABC,19.05
trial_1pc0yahm,Kaban,embd,ABCD,880,embd,D,33.33
trial_1pc0yahm,Kaban,embd,ABCD,880,mask,ABC,19.05
trial_1pc0yahm,Kaban,embd,ABCD,880,mask,D,26.67
trial_1pc0yahm,Kaban,embd,ABCD,880,raw,ABC,19.05
trial_1pc0yahm,Kaban,embd,ABCD,880,raw,D,26.67
trial_1trrdwj1,Kaban,embd,ABCD,650,embd,ABC,40
trial_1trrdwj1,Kaban,embd,ABCD,650,embd,D,33.33
trial_1trrdwj1,Kaban,embd,ABCD,650,mask,ABC,30
trial_1trrdwj1,Kaban,embd,ABCD,650,mask,D,33.33
trial_1trrdwj1,Kaban,embd,ABCD,650,raw,ABC,35
trial_1trrdwj1,Kaban,embd,ABCD,650,raw,D,38.1
trial_1uiznu7r,Kaban,embd,ABCD,1000,embd,ABC,25
trial_1uiznu7r,Kaban,embd,ABCD,1000,embd,D,22.22
trial_1uiznu7r,Kaban,embd,ABCD,1000,mask,ABC,12.5
trial_1uiznu7r,Kaban,embd,ABCD,1000,mask,D,22.22
trial_1uiznu7r,Kaban,embd,ABCD,1000,raw,ABC,16.67
trial_1uiznu7r,Kaban,embd,ABCD,1000,raw,D,29.63
trial_1v9cr4tp,Serval,raw,ABC,520,embd,ABC,39.29
